resort_no,resort_name,atoll,atoll_code,island,rooms,beds,phone,fax,email,resort_phone,resort_fax,resort_email,operator,owner_lessee,management,state,status,join_candidates,coordinates,coordinate_count,source
160,The Residence Maldives At Dhigurah,Gaafu Alifu,GA,Dhigurah,185.0,370.0,6820088,,chpl@dhinet.net.mv,6820088,6820088,chpl@dhinet.net.mv,"Bonavista (Maldives) Pvt Ltd 
Ma. Malaaz, 
Huvandhumaa Goalhi, 
Male, Republic of Maldives","Bonavista (Maldives) Pvt Ltd 
Ma. Malaaz, 
Huvandhumaa Goalhi, 
Male, Republic of Maldives",,Operating,Operating,Dhigurah,[],0,resorts.csv
161,The Ritz Carlton Maldives Fari Islands,Kaafu,K,Fari Kandu Huraa,117.0,234.0,7797779,-,shahdy@sandalawyers.com,4000999,4000999,maldives.reservations@ritzcarlton.com,"CPRC (Maldives) Pvt Ltd 
H. Millenia Tower, #02-01,
10 Ameer Ahmed Magu,
Male', Republic of Maldives","MESA RF Pvt Ltd 
M. Faaroshige, Level 2
Orchid Magu 
Male', Republic of Maldives","Marriot Hotels Maldives Pvt Ltd
H. Millenia Tower, #04-01
10 Ameer Ahmed Magu
Male', Republic of Maldives",Operating,Operating,Fari Kandu Huraa,[],0,resorts.csv
162,"The St. Regis Vommuli Resort, Maldives",Dhaalu,Dh,Vommuli,95.0,190.0,9946464,,sascapital@theresidency.com,6763636,6763636,sascapital@theresidency.com,"SAS Capital Private Limited 
6A, M. Faamdheyrige
Orchid Magu
Male', Republic of Maldives","SAS Capital Private Limited 
6A, M. Faamdheyrige
Orchid Magu, 
Male', Republic of Maldives","Starwood Asia Pacific Hotels and Resorts Pte Ltd 
06 Temasek Boulevard
#04-01 Suntee Tower Four
Singapore 038986",Operating,Operating,Vommuli,[],0,resorts.csv
163,The Standard Huruvalhi Maldives,Raa,R,Huruvalhi,122.0,244.0,,,,658 5555,658 5555,mv.reservations@standardhotels.com,"Snapper Blue Investments Pvt Ltd
H. Millennia Tower, 10, #02-01, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Snapper Blue Investments Pvt Ltd
H. Millennia Tower, 10, #02-01, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Standard Asia Co. Ltd. 
No. 59, Rimklong Phrakanong Alley, 
Phrakanong Nua Sub-District, Wattana District, 
Bangkok, Thailand",Operating,Operating,Huruvalhi,[],0,resorts.csv
164,The Westin Maldives Miriandhoo Resort,Baa,B,Miriandhoo,73.0,146.0,7991100,,majdee.imad@alohamaldives.com,660-4444,660-4444,mlewi.reservation@westinhotels.com,"Miriandhoo Maldives Resorts Pvt Ltd
M. Whale Shark, 2nd Floor
Aaburuzu Hingun
Male', Republic of Maldives","Miriandhoo Maldives Resorts Pvt Ltd
M. Whale Shark, 2nd Floor
Aaburuzu Hingun
Male', Republic of Maldives","Starwood Asia Pacific Hotels and Resorts Pte Ltd
02 Harbour Front, Bank of America 
Merril Lynch, #06-08, Singapore 098499",Operating,Operating,Miriandhoo,[],0,resorts.csv
165,Thulhagiri Island Resort & Spa,Kaafu,K,Thulhaagiri,87.0,174.0,3313523,3313522,hr@thulhagiri.com.mv,6645930,6645930,reserve@thulhagiri.com.mv,"Angiri Resorts Management & Operations Pvt. Ltd.
M. New Plot
Ameenee Magu
Male', Republic of Maldives","Thulhaagiri Development Pvt. Ltd.
M. New Plot
Ameenee Magu
Male', Republic of Maldives",-,Operating,Operating,Thulhaagiri,[],0,resorts.csv
166,V Villas Maldives at Mirihi-Mgallery Collection,Alifu Dhaalu,ADh,Mirihi,38.0,76.0,7773152,-,zayan@salihshihab.co,6680500,6680500,info@mirihi.com,"Vie Maldives Pvt Ltd 
M. Marina Building, Level 7, 
Koliumaru Maniku Goalhi, 
Male', Republic of Maldives","Vie Maldives Pvt Ltd 
M. Marina Building, Level 7, 
Koliumaru Maniku Goalhi, 
Male', Republic of Maldives","Accor Luxury Maldives Pvt Ltd
H. Aage, 6th floor, 12 
Boduthakurufaanu Magu, 
Male', Republic of Maldives",Operating,Operating,Mirihi,[],0,resorts.csv
167,Vakkaru Maldives,Baa,B,Vakkaru,128.0,256.0,7777222,,6699sato@gmail.com,660 7000,660 7000,info@vakkarumaldives.com,"Efzy Holdings Pvt Ltd 
H. Millennium
Lansimoo Goalhi
Male', Republic of Maldives","Efzy Holdings Pvt Ltd
H. Millennium
Lansimoo Goalhi
Male', Republic of Maldives",,Operating,Operating,Vakkaru,[],0,resorts.csv
168,Varu Island Resort,Kaafu,K,Madivaru,125.0,250.0,3333000,3333713,imran.ali@shuaz.mv,400700,400700,imran.ali@shuaz.mv,"Shuaz Investment Pvt Ltd 
M. Shuaz 
Orchid Magu 
Male', Republic of Maldives","Dhonkeyo Investments Pvt Ltd
Ma. Seeraazeege 
Seeraazee Goalhi
Male', Republic of Maldives","Prospect Pvt Ltd 
H. Aage (6th Floor) 
Boduthakurufaanu Magu
Male', Republic of Maldives",Operating,Operating,Madivaru,[],0,resorts.csv
169,Velaa Private Island Maldives,Noonu,N,Fushivelaavaru,67.0,134.0,3010011,301 0022,Mohamed.Mausoom@velaaisland.com,6565000,6565000,info@velaaprivateisland.com,"Velaa Island Maldives Pvt Ltd 
M. Uniya, 4th Floor
Fareedhee Magu, 
Male', Republic of Maldives","Velaa Asset Management Pvt Ltd 
M. Kaneeru Villa, 6th Floor
Orchid Magu 2012, 
Male', Republic of Maldives",,Operating,Operating,Fushivelaavaru,[],0,resorts.csv
170,Veligandu Maldives Resort Island,Alifu Alifu,AA,Veligan'du,100.0,200.0,3322432,3324009,info@crowncompany.com,666 0519,666 0519,reservations@veligandu.com,"Crown Company Pvt. Ltd. 
Fasmeeru Building, 6th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Crown Company Pvt. Ltd. 
Fasmeeru Building, 6th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives",-,Operating,Operating,Veligan'du,[],0,resorts.csv
171,Vilamendhoo Island Resort,Alifu Dhaalu,ADh,Vilamendhoo,184.0,368.0,"3314149
7983342",,cfo@champaresorts.com,,,,"Vilamendhoo Investments Pvt. Ltd.
Champa Building, 3rd Floor
Kandidhon Manik Goalhi
Male', Republic of Maldives","Vilamendhoo Investments Pvt. Ltd.
Champa Building, 3rd Floor
Kandidhon Manik Goalhi
Male', Republic of Maldives",,Operating,Operating,Vilamendhoo,[],0,resorts.csv
172,Villa Nautica Paradise Island,Kaafu,K,Lankanfinolhu,284.0,568.0,3344777,3325177,info@villa.com.mv,3316161,3316161,hello@villaresorts.com,"Villa Shipping & Trading Company Pvt.Ltd.
(on behalf of Diza Trade & Travels Pvt. Ltd.)
Villa Building, Ibrahim Hassan Didi Magu
Male', Republic of Maldives","Diza Travel & Trade Pvt. Ltd.
Villa Building, Ibrahim Hassan Didi Magu
Male', Republic of Maldives
info@villa.com.mv",,Operating,Operating,Lankanfinolhu,[],0,resorts.csv
173,Villa Park Sun Island,Alifu Dhaalu,ADh,Nalaguraidhoo,466.0,932.0,3325195,3325177,info@villa.com.mv,668 0099,668 0099,reservations@sun-island.com.mv,"Villa Shipping & Trading Company Pvt Ltd
M. Villa Building, 
Ibrahim Hassan Didi Magu, 
Male', Republic of Maldives","Villa Shipping & Trading Company Pvt Ltd 
M. Villa Building, 
Ibrahim Hassan Didi Magu, 
Male', Republic of Maldives",-,Operating,Operating,Nalaguraidhoo,[],0,resorts.csv
174,W Maldives,Alifu Alifu,AA,Fesdhoo,79.0,158.0,7797779,-,shahdy@sandalawyers.com,6662222,6662222,wmaldives.welcome@whotels.com,"Manta Resort Holdings I Pvt Ltd
H. #02-01, Millennia Tower 10, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Manta Resort Holdings I Pvt Ltd
H. #02-01, Millennia Tower 10, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Marriott Hotels Maldives Private Limited
H. #04-01, Millennia Tower 10, 
Ameer Ahmed Magu, 
Male', Republic of Maldives

Website: https://www.marriott.com/en-us/hotels/mlewh-w-maldives/",Operating,Operating,Fesdhoo,[],0,resorts.csv
175,Waldorf Astoria Maldives Ithaafushi,Kaafu,K,Ithaafushi,136.0,272.0,3325602,3325601,suzan@hotelresortsconstruction.com,4000300,4000300,"etienne.dalancon@waldorfastoria,com","Ithaafushi Investments Pvt. Ltd. 
H. Sea Side, Level One, 
Boduthakurufaanu Magu
Male', Republic of Maldives","Ithaafushi Investments Pvt. Ltd.
H. Sea Side, Level One, 
Boduthakurufaanu Magu
Male', Republic of Maldives",,Operating,Operating,Ithaafushi,[],0,resorts.csv
176,Yash Nature Resort,Dhaalu,Dh,Dhoores,33.0,66.0,7731865,,lamaan@sandalawyers.com,7731865,,lamaan@sandalawyers.com,"Yash Exotic Island Pvt Ltd 
H. Millennia Tower
Ameer Ahmed Magu
Male', Republic of Maldives","Yash Exotic Island Pvt Ltd 
H. Millennia Tower
Ameer Ahmed Magu
Male', Republic of Maldives",,Operating,Operating,Dhoores,[],0,resorts.csv
177,You & Me Maldives,Raa,R,Uthurumaafaru,109.0,218.0,3016888,,"alex@cocoonmaldives.com
info@cocoonmaldives.com",6581000,6581000,booking@youandmemaldives.com,"Uthurumaafaru Holdings Pvt Ltd 
H. Soanary, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Uthurumaafaru Holdings Pvt Ltd 
H. Soanary, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives",-,Operating,Operating,Uthurumaafaru,[],0,resorts.csv
